RELEASE ; FILENAME ; NR ; NAUTH ; ChgSize ; LOCAdded ; Churn ; BUGGYNESS 
1;hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java;0;0;0;0;0;null
1;hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java;0;0;0;0;0;null
1;hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java;64;3;2707;2647;2347;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java;45;3;2370;446;289;NO
1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java;53;3;2708;607;361;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java;33;3;1210;292;213;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java;35;3;2637;131;58;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java;44;2;1818;255;134;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java;5;1;390;15;0;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java;37;2;2017;207;60;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java;55;3;2141;1141;389;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java;46;3;2244;1366;1216;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java;40;3;2197;204;16;NO
1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java;0;0;0;0;0;null
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java;88;3;3098;1155;825;NO
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java;28;3;1555;171;137;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java;7;1;1197;49;0;null
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java;12;2;1322;81;50;null
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java;33;3;1873;1250;1160;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java;0;0;0;0;0;null
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java;29;3;2503;67;17;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java;0;0;0;0;0;null
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java;27;3;1767;408;200;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java;17;2;1397;37;15;null
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java;13;2;1203;137;12;NO
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java;10;2;1233;17;0;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestConcurrentTopicAcquisition.java;13;3;652;31;12;YES
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java;34;2;2383;313;239;YES
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java;5;1;390;5;0;YES
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java;12;2;1342;17;10;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClient.java;14;1;1848;77;7;null
